province,type,tanggal,klasifikasi,all_available_room,room_total,not_available_room,TPK,bulan,hari,jenis tanggal,klasifikasi2
Bali,Hotel,1/1/2021,Rated,31334,54852,23518,75.05584987553456,1,1,awal,1
Bali,Hotel,1/1/2021,Not Rated,618,702,84,13.592233009708737,1,1,awal,0
Bali,Hotel,1/2/2021,Rated,33698,55950,22252,66.0335924980711,1,2,awal,1
Bali,Hotel,1/2/2021,Not Rated,642,705,63,9.813084112149532,1,2,awal,0
Bali,Hotel,1/3/2021,Rated,33310,55380,22070,66.25637946562594,1,3,awal,1
Bali,Hotel,1/3/2021,Not Rated,664,742,78,11.74698795180723,1,3,awal,0
Bali,Hotel,1/4/2021,Rated,35377,56726,21349,60.347118184130935,1,4,awal,1
Bali,Hotel,1/4/2021,Not Rated,719,767,48,6.675938803894297,1,4,awal,0
Bali,Hotel,1/5/2021,Rated,33457,55027,21570,64.47081328272111,1,5,awal,1
Bali,Hotel,1/5/2021,Not Rated,699,753,54,7.725321888412018,1,5,awal,0
Bali,Hotel,1/6/2021,Rated,35742,56808,21066,58.93906328688937,1,6,awal,1
Bali,Hotel,1/6/2021,Not Rated,669,730,61,9.118086696562033,1,6,awal,0
Bali,Hotel,1/7/2021,Rated,32299,53998,21699,67.18164649060341,1,7,awal,1
Bali,Hotel,1/7/2021,Not Rated,675,734,59,8.74074074074074,1,7,awal,0
Bali,Hotel,1/8/2021,Rated,35276,56357,21081,59.76017689080395,1,8,awal,1
Bali,Hotel,1/8/2021,Not Rated,692,739,47,6.791907514450866,1,8,awal,0
Bali,Hotel,1/9/2021,Rated,35164,56704,21540,61.255829825958365,1,9,awal,1
Bali,Hotel,1/9/2021,Not Rated,702,750,48,6.837606837606838,1,9,awal,0
Bali,Hotel,1/10/2021,Rated,35866,56748,20882,58.222271789438466,1,10,awal,1
Bali,Hotel,1/10/2021,Not Rated,698,758,60,8.595988538681947,1,10,awal,0
Bali,Hotel,1/11/2021,Rated,34884,56158,21274,60.98497878683637,1,11,awal,1
Bali,Hotel,1/11/2021,Not Rated,673,730,57,8.469539375928678,1,11,awal,0
Bali,Hotel,1/12/2021,Rated,35761,56667,20906,58.46033388328067,1,12,awal,1
Bali,Hotel,1/12/2021,Not Rated,674,735,61,9.050445103857568,1,12,awal,0
Bali,Hotel,1/13/2021,Rated,34097,55032,20935,61.398363492389365,1,13,awal,1
Bali,Hotel,1/13/2021,Not Rated,680,738,58,8.529411764705882,1,13,awal,0
Bali,Hotel,1/14/2021,Rated,36604,57343,20739,56.65774232324337,1,14,awal,1
Bali,Hotel,1/14/2021,Not Rated,677,733,56,8.27178729689808,1,14,awal,0
Bali,Hotel,1/15/2021,Rated,31936,53362,21426,67.09043086172345,1,15,awal,1
Bali,Hotel,1/15/2021,Not Rated,662,737,75,11.329305135951662,1,15,awal,0
Bali,Hotel,1/16/2021,Rated,35392,56503,21111,59.64907323688969,1,16,akhir,1
Bali,Hotel,1/16/2021,Not Rated,666,726,60,9.00900900900901,1,16,akhir,0
Bali,Hotel,1/17/2021,Rated,31856,53082,21226,66.63108990457057,1,17,akhir,1
Bali,Hotel,1/17/2021,Not Rated,672,730,58,8.630952380952381,1,17,akhir,0
Bali,Hotel,1/18/2021,Rated,34941,56173,21232,60.765290060387514,1,18,akhir,1
Bali,Hotel,1/18/2021,Not Rated,690,750,60,8.695652173913043,1,18,akhir,0
Bali,Hotel,1/19/2021,Rated,32490,53468,20978,64.5675592489997,1,19,akhir,1
Bali,Hotel,1/19/2021,Not Rated,673,735,62,9.212481426448738,1,19,akhir,0
Bali,Hotel,1/20/2021,Rated,35709,56247,20538,57.51491220700664,1,20,akhir,1
Bali,Hotel,1/20/2021,Not Rated,672,731,59,8.779761904761903,1,20,akhir,0
Bali,Hotel,1/21/2021,Rated,32871,53872,21001,63.88914240515956,1,21,akhir,1
Bali,Hotel,1/21/2021,Not Rated,654,718,64,9.785932721712538,1,21,akhir,0
Bali,Hotel,1/22/2021,Rated,35870,56490,20620,57.48536381377195,1,22,akhir,1
Bali,Hotel,1/22/2021,Not Rated,626,692,66,10.543130990415335,1,22,akhir,0
Bali,Hotel,1/23/2021,Rated,33246,53650,20404,61.37279672742586,1,23,akhir,1
Bali,Hotel,1/23/2021,Not Rated,629,711,82,13.036565977742448,1,23,akhir,0
Bali,Hotel,1/24/2021,Rated,35489,55455,19966,56.259686099918284,1,24,akhir,1
Bali,Hotel,1/24/2021,Not Rated,640,722,82,12.812499999999998,1,24,akhir,0
